temp,temp
0,2010-06-01
1,78.0
2,2010-06-02
3,76.0
4,2010-06-03
5,78.0
6,2010-06-04
7,76.0
8,2010-06-05
9,77.0
10,2010-06-06
11,78.0
12,2010-06-07
13,77.0
14,2010-06-08
15,78.0
16,2010-06-09
17,78.0
18,2010-06-10
19,79.0
20,2010-06-11
21,78.0
22,2010-06-12
23,78.0
24,2010-06-13
25,78.0
26,2010-06-14
27,77.0
28,2010-06-15
29,78.0
30,2010-06-16
31,78.0
32,2010-06-17
33,77.0
34,2010-06-18
35,77.0
36,2010-06-19
37,82.0
38,2010-06-20
39,78.0
40,2010-06-21
41,78.0
42,2010-06-22
43,78.0
44,2010-06-23
45,78.0
46,2010-06-24
47,78.0
48,2010-06-25
49,77.0
50,2010-06-26
51,76.0
52,2010-06-27
53,78.0
54,2010-06-28
55,78.0
56,2010-06-29
57,78.0
58,2010-06-30
59,78.0
60,2011-06-01
61,77.0
62,2011-06-02
63,78.0
64,2011-06-03
65,73.0
66,2011-06-04
67,70.0
68,2011-06-05
69,76.0
70,2011-06-06
71,77.0
72,2011-06-07
73,77.0
74,2011-06-08
75,77.0
76,2011-06-09
77,77.0
78,2011-06-10
79,78.0
80,2011-06-11
81,77.0
82,2011-06-12
83,77.0
84,2011-06-13
85,78.0
86,2011-06-14
87,78.0
88,2011-06-15
89,77.0
90,2011-06-17
91,78.0
92,2011-06-18
93,78.0
94,2011-06-19
95,75.0
96,2011-06-20
97,76.0
98,2011-06-21
99,76.0
100,2011-06-24
101,77.0
102,2011-06-25
103,78.0
104,2011-06-26
105,76.0
106,2011-06-27
107,77.0
108,2011-06-28
109,75.0
110,2011-06-29
111,77.0
112,2012-06-01
113,76.0
114,2012-06-02
115,76.0
116,2012-06-03
117,75.0
118,2012-06-04
119,77.0
120,2012-06-05
121,77.0
122,2012-06-06
123,76.0
124,2012-06-07
125,78.0
126,2012-06-08
127,77.0
128,2012-06-09
129,76.0
130,2012-06-10
131,77.0
132,2012-06-11
133,76.0
134,2012-06-12
135,76.0
136,2012-06-13
137,77.0
138,2012-06-14
139,77.0
140,2012-06-15
141,78.0
142,2012-06-16
143,77.0
144,2012-06-17
145,77.0
146,2012-06-18
147,77.0
148,2012-06-19
149,76.0
150,2012-06-20
151,75.0
152,2012-06-21
153,76.0
154,2012-06-22
155,76.0
156,2012-06-23
157,77.0
158,2012-06-24
159,76.0
160,2012-06-25
161,73.0
162,2012-06-26
163,73.0
164,2012-06-27
165,75.0
166,2012-06-28
167,77.0
168,2012-06-29
169,76.0
170,2012-06-30
171,77.0
172,2013-06-01
173,79.0
174,2013-06-02
175,78.0
176,2013-06-03
177,79.0
178,2013-06-04
179,78.0
180,2013-06-05
181,78.0
182,2013-06-06
183,79.0
184,2013-06-07
185,77.0
186,2013-06-08
187,77.0
188,2013-06-09
189,77.0
190,2013-06-10
191,77.0
192,2013-06-11
193,77.0
194,2013-06-12
195,78.0
196,2013-06-13
197,77.0
198,2013-06-14
199,76.0
200,2013-06-15
201,78.0
202,2013-06-16
203,78.0
204,2013-06-17
205,77.0
206,2013-06-18
207,78.0
208,2013-06-19
209,78.0
210,2013-06-20
211,73.0
212,2013-06-21
213,76.0
214,2013-06-22
215,77.0
216,2013-06-23
217,75.0
218,2013-06-24
219,76.0
220,2013-06-25
221,74.0
222,2013-06-26
223,75.0
224,2013-06-27
225,77.0
226,2013-06-28
227,76.0
228,2013-06-29
229,77.0
230,2013-06-30
231,78.0
232,2014-06-01
233,79.0
234,2014-06-02
235,77.0
236,2014-06-03
237,78.0
238,2014-06-04
239,79.0
240,2014-06-05
241,78.0
242,2014-06-06
243,78.0
244,2014-06-07
245,78.0
246,2014-06-08
247,78.0
248,2014-06-09
249,79.0
250,2014-06-10
251,79.0
252,2014-06-11
253,82.0
254,2014-06-12
255,80.0
256,2014-06-13
257,79.0
258,2014-06-14
259,79.0
260,2014-06-15
261,78.0
262,2014-06-16
263,78.0
264,2014-06-17
265,77.0
266,2014-06-18
267,78.0
268,2014-06-19
269,78.0
270,2014-06-20
271,73.0
272,2014-06-21
273,75.0
274,2014-06-22
275,75.0
276,2014-06-23
277,76.0
278,2014-06-24
279,84.0
280,2014-06-25
281,79.0
282,2014-06-26
283,76.0
284,2014-06-27
285,79.0
286,2014-06-28
287,79.0
288,2014-06-29
289,77.0
290,2014-06-30
291,79.0
292,2015-06-01
293,78.0
294,2015-06-02
295,78.0
296,2015-06-03
297,79.0
298,2015-06-04
299,77.0
300,2015-06-05
301,79.0
302,2015-06-06
303,78.0
304,2015-06-07
305,78.0
306,2015-06-08
307,78.0
308,2015-06-09
309,79.0
310,2015-06-10
311,77.0
312,2015-06-11
313,78.0
314,2015-06-12
315,78.0
316,2015-06-13
317,78.0
318,2015-06-14
319,78.0
320,2015-06-15
321,79.0
322,2015-06-16
323,79.0
324,2015-06-17
325,77.0
326,2015-06-18
327,78.0
328,2015-06-19
329,78.0
330,2015-06-20
331,78.0
332,2015-06-21
333,79.0
334,2015-06-22
335,79.0
336,2015-06-23
337,77.0
338,2015-06-24
339,79.0
340,2015-06-25
341,79.0
342,2015-06-26
343,79.0
344,2015-06-27
345,81.0
346,2015-06-28
347,76.0
348,2015-06-29
349,80.0
350,2015-06-30
351,78.0
352,2016-06-01
353,76.0
354,2016-06-02
355,71.0
356,2016-06-03
357,71.0
358,2016-06-04
359,74.0
360,2016-06-05
361,76.0
362,2016-06-06
363,78.0
364,2016-06-07
365,77.0
366,2016-06-08
367,77.0
368,2016-06-09
369,73.0
370,2016-06-10
371,77.0
372,2016-06-11
373,78.0
374,2016-06-12
375,78.0
376,2016-06-13
377,80.0
378,2016-06-14
379,79.0
380,2016-06-15
381,78.0
382,2016-06-16
383,77.0
384,2016-06-17
385,76.0
386,2016-06-18
387,77.0
388,2016-06-19
